mentions,,,non-mentions,,,,,,,,,,,,,,,
JJ : VBN,26,0.000959693,CD : PRP$,217,0.000845256,,,,,,,,,,,,,
JJ : VBP,14,0.000516758,CD : RB,245,0.000954321,,,,,,,,,,,,,
JJ : VBZ,17,0.000627492,CD : RBR,2,7.79E-06,,,,,,,,,,,,,
JJ : WDT,12,0.000442935,CD : RBS,5,1.95E-05,,,,,,,,,,,,,
JJ : WP,24,0.00088587,CD : RP,1,3.90E-06,,,,,,,,,,,,,
JJ : WP$,2,7.38E-05,CD : TO,103,0.000401204,,,,,,,,,,,,,
"JJR : ,",2,7.38E-05,CD : VB,42,0.000163598,,,,,,,,,,,,,
JJR : .,3,0.000110734,CD : VBD,941,0.003665372,,,,,,,,,,,,,
JJR : FW,1,3.69E-05,CD : VBG,116,0.000451842,,,,,,,,,,,,,
JJR : IN,6,0.000221468,CD : VBN,219,0.000853046,,,,,,,,,,,,,
JJR : NN,3,0.000110734,CD : VBP,75,0.000292139,,,,,,,,,,,,,
JJR : NNS,1,3.69E-05,CD : VBZ,350,0.001363316,,,,,,,,,,,,,
JJR : VBZ,1,3.69E-05,CD : WDT,38,0.000148017,,,,,,,,,,,,,
"JJS : ,",1,3.69E-05,CD : WP,15,5.84E-05,,,,,,,,,,,,,
JJS : .,3,0.000110734,CD : WP$,1,3.90E-06,,,,,,,,,,,,,
JJS : CC,1,3.69E-05,CD : WRB,17,6.62E-05,,,,,,,,,,,,,
JJS : IN,9,0.000332201,DT : (,30,0.000116856,,,,,,,,,,,,,
JJS : NN,5,0.000184556,DT : ),1,3.90E-06,,,,,,,,,,,,,
JJS : VBN,1,3.69E-05,"DT : ,",5,1.95E-05,,,,,,,,,,,,,
MD : IN,2,7.38E-05,DT : .,7,2.73E-05,,,,,,,,,,,,,
NN : (,3,0.000110734,DT : :,9,3.51E-05,,,,,,,,,,,,,
NN : ),3,0.000110734,DT : CC,821,0.00319795,,,,,,,,,,,,,
"NN : ,",406,0.014985974,DT : CD,237,0.00092316,,,,,,,,,,,,,
